"","cpg","trait","cpg_pos","lead_snp","cis","b_wald_ratio","se_wald_ratio","p_wald_ratio","coloc_nsnp","coloc_h0","coloc_h1","coloc_h2","coloc_h3","coloc_h4"
"1","cg17953764","Height","chr4:48492845","rs10029732",TRUE,-0.018,0.0029,2e-09,62,2.55377646859537e-38,4.56040523367152e-06,6.38427336139902e-34,0.113120258993236,0.886875180601525
"2","cg12642815","Systemic lupus erythematosus","chr5:150461195","rs10036748",TRUE,0.27763173659828,0.0289103789048477,2.80088e-18,47,4.13388902453096e-119,1.68982804572351e-18,7.65660413359359e-104,0.00213195579072474,0.997868044209292
"3","cg17394304","Height","chr3:187453973","rs1005099",TRUE,-0.02,0.003,5.5e-11,25,1.61084641697708e-98,1.17943547913235e-07,8.37546683697617e-94,0.00513751787872798,0.994862364177714
"4","cg04159302","Crohn's disease","chr5:150162068","rs10051412",TRUE,0.313203609681859,0.037,2.8e-17,174,1.08432876559324e-86,4.70204070229814e-14,1.88808749911043e-74,0.080955240531306,0.919044759468648
"5","cg04159302","Inflammatory bowel disease","chr5:150162068","rs10051412",TRUE,0.185400146403552,0.0286,8.765e-11,174,1.73032838175476e-80,7.50332808417316e-08,2.69880643116139e-74,0.116146129080218,0.883853795886501
"6","cg00204748","Mean platelet volume","chr12:29376779","rs1006409",TRUE,-0.0084,0.001,9.776e-16,48,4.5876067467117e-79,1.24527736137556e-13,6.40800489144487e-69,0.000740153285987521,0.999259846713887
"7","cg25256067","Mean cell volume","chr7:11856910","rs1008084",FALSE,0.2296,0.0246,8.968e-22,27,3.98605781878339e-25,3.95691669223382e-17,1.20518579497452e-11,0.000196571538040989,0.999803428449908
"8","cg25256067","Red blood cell count","chr7:11856910","rs1008084",FALSE,-0.0175,0.0021,1.035e-17,27,2.60329888297039e-21,2.58426678016508e-13,2.07115619972801e-11,0.00105707153785894,0.998942928441168
"9","cg25256067","Mean cell haemoglobin","chr7:11856910","rs1008084",FALSE,0.0997,0.0096,6.345e-26,27,1.21361322394464e-29,1.20474078451977e-21,1.20507474033347e-11,0.000196461184941071,0.99980353880301
"10","cg25392692","Height","chr12:58021309","rs10083154",TRUE,-0.021,0.0031,8.7e-12,46,5.74042931493973e-54,5.25947434393462e-08,6.15306474498697e-48,0.0554308069635793,0.944569140441674
"11","cg27365627","Years of schooling","chr15:78614908","rs1015521",FALSE,0.017,0.003,1.138e-10,19,7.77199854406132e-59,5.83493938768161e-05,1.2857090758042e-56,0.00866136502176997,0.991280285584366
"12","cg16592453","Chronotype","chr1:150460103","rs10157197",TRUE,0.0245859,0.00402809,1e-09,166,2.39893127762808e-11,2.37659824004105e-05,1.4366966483436e-07,0.141473658466986,0.858502431856959
"13","cg23339656","Inflammatory bowel disease","chr2:234159882","rs10164737",TRUE,0.145104168977138,0.0169,8.528e-18,64,6.71001205434679e-94,1.08693735444132e-14,2.83430441781731e-81,0.0449571152549396,0.955042884745052
"14","cg23339656","Crohn's disease","chr2:234159882","rs10164737",TRUE,0.297196664820366,0.0232,1.39e-37,93,3.08517469594556e-113,4.99796694160588e-34,2.07300289623355e-81,0.0326151541229686,0.967384845877027
"15","cg11564239","Height","chr2:241644188","rs10169006",TRUE,-0.019,0.0031,2.9e-10,18,4.64228393906145e-18,1.11251659195143e-06,7.53428131513597e-14,0.0170728695377503,0.982926017945579
"16","cg19997179","Body fat","chr2:620310","rs10173167",TRUE,0.0376,0.0062,1.105e-09,83,3.93202706004183e-39,2.80371168066075e-06,9.62675231724262e-35,0.0677107760677431,0.932286420220577
"17","cg19997179","Hip circumference","chr2:620310","rs10173167",TRUE,-0.053,0.0046,8.8e-31,89,2.40872120491773e-59,1.9151543945194e-26,1.67086264715319e-34,0.131980894035192,0.86801910596481
"18","cg19997179","Age at menarche","chr2:620310","rs10173167",TRUE,-0.047,0.00783619744389855,2e-09,86,1.72453166894057e-40,1.30085861663575e-07,5.32580466866572e-35,0.039213128406185,0.960786741507946
"19","cg19997179","Childhood obesity","chr2:620310","rs10173167",TRUE,0.2413,0.0352,7.065e-12,72,1.45333788530544e-41,8.9034949859636e-09,1.13984475493451e-34,0.0688985104970971,0.93110148059941
"20","cg19997179","Obesity class 1","chr2:620310","rs10173167",TRUE,0.17,0.017,1.8e-25,86,1.55012960236571e-54,1.16930264979035e-21,1.39421475533531e-34,0.104273480319698,0.895726519680304
"21","cg19997179","Extreme body mass index","chr2:620310","rs10173167",TRUE,0.26,0.039,5.8e-11,85,8.20177252331899e-41,6.18679159238811e-08,1.50405991872389e-34,0.112567375323566,0.88743256280852
"22","cg03153679","Height","chr3:136784382","rs1017491",TRUE,0.02,0.003,1.9e-11,23,1.5887952361916e-33,9.72384515450376e-11,9.50466539466411e-26,0.00482192739443801,0.995178072508319
"23","cg04101806","Years of schooling","chr2:100722584","rs10192951",TRUE,0.024,0.003,4.148e-13,29,1.04615458908851e-35,7.97695652121005e-12,2.52841645139244e-26,0.0182975401211348,0.981702459870882
"24","cg18269503","Transferrin Saturation","chr6:26104560","rs10214468",TRUE,-0.1049,0.0152,5.737e-12,103,2.43469540438065e-67,2.95134111539227e-32,8.81369165883301e-37,0.105945637059242,0.894054362940764
"25","cg27435498","Height","chr7:150655387","rs10236214",TRUE,0.024,0.0032,4.8e-14,15,5.59603419136797e-27,5.42252690674482e-10,4.29869292660458e-20,0.00316857880759741,0.996831420650147
"26","cg05149343","Waist-to-hip ratio","chr7:25897590","rs10260677",TRUE,0.024,0.0041,2.1e-09,33,4.55551102055686e-43,8.07431174459837e-07,9.14600961013104e-39,0.0152258630794781,0.984773329489347
"27","cg04157587","Waist-to-hip ratio","chr7:25895751","rs10267498",TRUE,0.025,0.004,2.5e-10,14,4.28091991997666e-37,1.42730209161048e-06,8.14741396427664e-33,0.0261904958807586,0.973808076817152
"28","cg09803764","Inflammatory bowel disease","chr7:107572753","rs10271497",TRUE,0.10930273489045,0.0169,9.209e-11,21,9.61944119353446e-17,6.86958081480474e-08,2.69686258345205e-11,0.0182775205023154,0.98172241077491
"29","cg09803764","Ulcerative colitis","chr7:107572753","rs10271497",TRUE,0.145700794171554,0.0212,5.913e-12,21,3.15291200803627e-18,2.25160520298531e-09,3.33741963819898e-11,0.0228565423651258,0.977143455349898
"30","cg20893717","Mean cell haemoglobin","chr7:100318190","rs10277087",TRUE,0.0789,0.0104,6.824e-16,12,4.45426361005766e-47,1.00566773818225e-10,1.02363362657332e-39,0.00131243589900891,0.998687564000425
"31","cg20893717","Red blood cell count","chr7:100318190","rs10277087",TRUE,-0.0186,0.0023,7.593e-18,13,2.6706345586988e-48,6.02979276509408e-12,1.6730400375624e-38,0.0368109222522704,0.963189077741699
"32","cg20893717","Mean cell volume","chr7:100318190","rs10277087",TRUE,0.1856,0.0263,7.616e-14,11,4.53774793647928e-44,1.02457800838432e-07,1.31458317021367e-38,0.0287106813393962,0.971289216202803
